Timestamp,Číslo hry - NEMĚNIT automaticky předvyplněno,Hra byla vyvážená,Hra pro mne představovala výzvu,"Nebyl jsem si do poslední chvíle jistý, kdo vyhraje","Přišlo mi, že AI hraje chytře",Hra byla obtížná,Nepřítel byl schopný hrát strategicky,Vyhrál jsem,Poznámka - zde volitelně libovolná poznámka/feedback k odehrané hře
4/29/2017 10:05:53,data/questionnaire\14evo-save.txt,4,5,1,6,6,5,Ne,Som zvedavý či by ma dostal keby som nebol greedy
5/1/2017 22:16:50,data/questionnaire\14evo-save.txt,5,5,5,6,5,5,Ne,
5/1/2017 23:13:16,data/questionnaire\14evo-save.txt,2,4,2,5,6,5,Ne,
4/26/2017 2:55:03,data/questionnaire\15evo-save.txt,2,7,3,5,6,7,Ne,
4/26/2017 18:17:50,data/questionnaire\15evo-save.txt,4,5,3,6,6,7,Ne,
4/26/2017 20:05:13,data/questionnaire\15evo-save.txt,5,3,3,5,5,4,Ne,
4/29/2017 10:10:48,data/questionnaire\15evo-save.txt,4,7,7,6,5,6,Ano,"Všetci umreli, neviem či to je výhra"
5/1/2017 22:19:05,data/questionnaire\15evo-save.txt,2,4,2,3,5,3,Ne,
5/1/2017 23:16:40,data/questionnaire\15evo-save.txt,6,6,7,6,5,6,Ne,
4/26/2017 2:59:47,data/questionnaire\16evo-save.txt,7,4,7,7,3,7,Ano,remiza
4/26/2017 18:21:34,data/questionnaire\16evo-save.txt,5,5,4,6,7,6,Ne,
4/26/2017 20:08:58,data/questionnaire\16evo-save.txt,5,5,5,3,3,3,Ano,
4/29/2017 10:14:34,data/questionnaire\16evo-save.txt,4,4,4,4,4,4,Ano,"Fakt netuším čo sa stalo v tejto hre. Ako jasné, plošáky, ale bolo to divné..."
5/1/2017 22:20:46,data/questionnaire\16evo-save.txt,3,4,3,4,5,4,Ne,
5/1/2017 23:19:50,data/questionnaire\16evo-save.txt,5,6,6,6,5,6,Ano,
4/26/2017 3:01:35,data/questionnaire\17evo-save.txt,3,5,4,7,5,5,Ne,
4/26/2017 18:25:42,data/questionnaire\17evo-save.txt,2,3,1,6,7,6,Ne,"Jedna moje postava umřela po prvním zásahu a druhá měla drahá kouzla a málo AP. Soupeř měl slabší kouzla a méně životů, zato hodně AP. Jednu postavu mi sejmuli prvním kouzlem a z druhé vyčerpali debufama AP. Nemyslím si, že se tohle kolo dalo vyhrát."
4/26/2017 20:12:18,data/questionnaire\17evo-save.txt,3,3,5,5,5,5,Ne,
4/29/2017 10:18:32,data/questionnaire\17evo-save.txt,3,6,6,6,7,5,Ne,Ja s tými glass cannon postavami asi neviem hrať alebo sú slabé :D
5/1/2017 22:22:56,data/questionnaire\17evo-save.txt,3,4,3,5,5,5,Ne,
4/26/2017 3:03:59,data/questionnaire\18evo-save.txt,3,6,7,7,4,6,Ne,
4/26/2017 18:29:07,data/questionnaire\18evo-save.txt,7,7,7,7,6,6,Ano,
4/26/2017 20:14:45,data/questionnaire\18evo-save.txt,6,6,6,5,5,5,Ne,
4/29/2017 10:22:31,data/questionnaire\18evo-save.txt,6,6,7,6,7,6,Ano,
5/1/2017 22:25:17,data/questionnaire\18evo-save.txt,6,6,6,5,5,5,Ne,
5/1/2017 23:25:40,data/questionnaire\18evo-save.txt,6,5,7,6,6,6,Ano,
4/26/2017 3:06:09,data/questionnaire\19evo-save.txt,3,7,7,4,7,4,Ne,nefer vysavaci
4/26/2017 18:38:56,data/questionnaire\19evo-save.txt,3,5,2,6,7,6,Ne,
4/26/2017 20:17:09,data/questionnaire\19evo-save.txt,2,3,2,5,6,6,Ne,
4/29/2017 10:25:31,data/questionnaire\19evo-save.txt,3,5,1,5,7,5,Ne,
5/1/2017 22:28:06,data/questionnaire\19evo-save.txt,6,6,5,6,5,5,Ne,
5/1/2017 23:31:20,data/questionnaire\19evo-save.txt,4,6,2,6,6,6,Ne,
4/26/2017 3:08:37,data/questionnaire\1evo-save.txt,7,6,6,7,6,6,Ne,
4/26/2017 18:43:35,data/questionnaire\1evo-save.txt,6,6,3,6,6,7,Ne,
4/26/2017 20:22:07,data/questionnaire\1evo-save.txt,3,5,3,6,5,5,Ano,
4/29/2017 10:30:23,data/questionnaire\1evo-save.txt,2,3,2,4,6,5,Ne,Súper mal postavu ktorá odrovnala môj glass cannon bez ohľadu na to čo som spravil. Ak mi znova neunikla nejaká herná mechanika samozrejme
5/1/2017 22:30:34,data/questionnaire\1evo-save.txt,3,5,3,5,5,5,Ne,
5/1/2017 23:35:48,data/questionnaire\1evo-save.txt,4,6,3,6,5,6,Ne,
4/26/2017 3:10:55,data/questionnaire\2evo-save.txt,5,7,5,7,7,7,Ne,mirror mages
